,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
787,"frozenset({'Seatbelt', 'Unknown'})","frozenset({'NA', 'Driver', 'Unscathed', 'Yes'})",0.5878511452581195,0.3099937061933543,0.2936241591779407,0.4994872622881653,1.6112819464038313,0.11139400396936835,1.3785988683546953
788,"frozenset({'Seatbelt', 'Yes'})","frozenset({'NA', 'Driver', 'Unscathed', 'Unknown'})",0.5878511452581195,0.37442499805084084,0.2936241591779407,0.4994872622881653,1.3340115240391697,0.07351799526048475,1.2498682946793012
789,"frozenset({'Unscathed', 'Unknown'})","frozenset({'NA', 'Driver', 'Seatbelt', 'Yes'})",0.4298856380304114,0.47017391019404586,0.2936241591779407,0.6830285387602757,1.4527146741902,0.09150314780891997,1.6715261611683352
790,"frozenset({'Yes', 'Unscathed'})","frozenset({'NA', 'Driver', 'Seatbelt', 'Unknown'})",0.35615770448939377,0.47017391019404586,0.2936241591779407,0.8244217532761101,1.7534400259169258,0.12616809861242698,3.0176066778884394
791,"frozenset({'Yes', 'Unknown'})","frozenset({'NA', 'Driver', 'Seatbelt', 'Unscathed'})",0.7927863032304064,0.2936241591779407,0.2936241591779407,0.3703698688808012,1.2613739615899637,0.060842947484124665,1.1218901477387069
792,frozenset({'Driver'}),"frozenset({'NA', 'Seatbelt', 'Unscathed', 'Unknown', 'Yes'})",0.7873602961365971,0.3348113044450998,0.2936241591779407,0.3729222321962252,1.1138280794141304,0.03000703136016658,1.0607754407951697
793,frozenset({'NA'}),"frozenset({'Driver', 'Seatbelt', 'Unscathed', 'Unknown', 'Yes'})",0.9687609110539358,0.2936241591779407,0.2936241591779407,0.303092492510356,1.0322464383003218,0.009172551225272996,1.0135862122744546
794,frozenset({'Seatbelt'}),"frozenset({'NA', 'Driver', 'Unscathed', 'Unknown', 'Yes'})",0.5878511452581195,0.3099937061933543,0.2936241591779407,0.4994872622881653,1.6112819464038313,0.11139400396936835,1.3785988683546953
795,frozenset({'Unscathed'}),"frozenset({'NA', 'Driver', 'Seatbelt', 'Unknown', 'Yes'})",0.429886203004078,0.47017391019404586,0.2936241591779407,0.6830276410968121,1.4527127649743883,0.09150288217304198,1.671521427418148
796,frozenset({'Unknown'}),"frozenset({'NA', 'Driver', 'Seatbelt', 'Unscathed', 'Yes'})",0.9999898304740016,0.2936241591779407,0.2936241591779407,0.2936271452268279,1.0000101696294186,2.986018520501066e-06,1.0000042272984686
797,frozenset({'Yes'}),"frozenset({'NA', 'Driver', 'Seatbelt', 'Unscathed', 'Unknown'})",0.7927964727564049,0.2936241591779407,0.2936241591779407,0.37036511799436306,1.2613577814280472,0.060839961465604164,1.1218816825585836
798,"frozenset({'male', 'Unscathed'})",frozenset({'Unknown'}),0.3085439837649167,0.9999898304740016,0.30854341879125013,0.9999981689039609,1.000008338514758,2.57277239795739e-06,5.553791707863853
799,"frozenset({'male', 'Unknown'})",frozenset({'Unscathed'}),0.6815350786499841,0.429886203004078,0.30854341879125013,0.4527183243486558,1.0531120124000843,0.015560891616322847,1.04171914091113
800,"frozenset({'Unscathed', 'Unknown'})",frozenset({'male'}),0.4298856380304114,0.6815429882813162,0.30854341879125013,0.7177337214727393,1.0531011745608112,0.015557876428783313,1.1282148664029232
801,frozenset({'male'}),"frozenset({'Unscathed', 'Unknown'})",0.6815429882813162,0.4298856380304114,0.30854341879125013,0.45271307033665,1.0531011745608112,0.015557876428783313,1.0417101726150855
802,frozenset({'Unscathed'}),"frozenset({'male', 'Unknown'})",0.429886203004078,0.6815350786499841,0.30854341879125013,0.7177327781983346,1.0531120124000846,0.015560891616322847,1.1282391179440054
803,frozenset({'Unknown'}),"frozenset({'male', 'Unscathed'})",0.9999898304740016,0.3085439837649167,0.30854341879125013,0.30854655656347885,1.000008338514758,2.57277239795739e-06,1.0000037208558097
804,"frozenset({'male', 'NA'})",frozenset({'Unscathed'}),0.6666248586153399,0.429886203004078,0.308217428985635,0.46235513872950923,1.0755291411972188,0.02164459968735616,1.060391046328807
805,"frozenset({'male', 'Unscathed'})",frozenset({'NA'}),0.3085439837649167,0.9687609110539358,0.308217428985635,0.9989416264893678,1.0311539360135802,0.009312078173323468,29.516128882896897
806,"frozenset({'NA', 'Unscathed'})",frozenset({'male'}),0.42932235928483375,0.6815429882813162,0.308217428985635,0.7179160887382253,1.0533687545500734,0.015615785302664498,1.1289442573814668
807,frozenset({'male'}),"frozenset({'NA', 'Unscathed'})",0.6815429882813162,0.42932235928483375,0.308217428985635,0.4522347589003645,1.0533687545500736,0.015615785302664498,1.04182886736211
808,frozenset({'NA'}),"frozenset({'male', 'Unscathed'})",0.9687609110539358,0.3085439837649167,0.308217428985635,0.31815634329250403,1.0311539360135802,0.009312078173323468,1.0140976005760673
